code_type,metric,refactoring_type,statistic,p_value,n_pairs,effect_size_r,delta_count,delta_mean,delta_std,delta_min,delta_25%,delta_50%,delta_75%,delta_max
test,Broken Hierarchy,Unknown,67186154626,0,2603013,0.026,2603013,-0.009,0.489,-6,0,0,0,6
test,Broken Modularization,Overall,25048106.5,0,2603013,-0.061,2603013,0.004,0.077,-1,0,0,0,2
test,Broken Modularization,Unknown,25048106.5,0,2603013,-0.061,2603013,0.004,0.077,-1,0,0,0,2
test,Cyclic Hierarchy,Overall,1362,0,2603013,-0.018,2603013,0,0.013,-1,0,0,0,1
test,Cyclic Hierarchy,Unknown,1362,0,2603013,-0.018,2603013,0,0.013,-1,0,0,0,1
test,Cyclic-Dependent Modularization,Overall,2392409049,0,2603013,-0.12,2603013,0.019,0.218,-1,0,0,0,1
test,Cyclic-Dependent Modularization,Unknown,2392409049,0,2603013,-0.12,2603013,0.019,0.218,-1,0,0,0,1
test,Deep Hierarchy,Overall,15,0.317,2603013,0,2603013,0,0.002,-1,0,0,0,1
test,Deep Hierarchy,Unknown,15,0.317,2603013,0,2603013,0,0.002,-1,0,0,0,1
test,Deficient Encapsulation,Overall,20617384647,0,2603013,-0.064,2603013,0.016,0.346,-3,0,0,0,9
test,Deficient Encapsulation,Unknown,20617384647,0,2603013,-0.064,2603013,0.016,0.346,-3,0,0,0,9
test,Hub-like Modularization,Overall,633,0,2603013,-0.021,2603013,0,0.016,-1,0,0,0,1
test,Hub-like Modularization,Unknown,633,0,2603013,-0.021,2603013,0,0.016,-1,0,0,0,1
test,Imperative Abstraction,Overall,5877326,0,2603013,0.009,2603013,0,0.045,-1,0,0,0,1
test,Imperative Abstraction,Unknown,5877326,0,2603013,0.009,2603013,0,0.045,-1,0,0,0,1
test,Insufficient Modularization,Overall,7354837057,0,2603013,-0.096,2603013,0.02,0.278,-2,0,0,0,9
test,Insufficient Modularization,Unknown,7354837057,0,2603013,-0.096,2603013,0.02,0.278,-2,0,0,0,9
test,Missing Hierarchy,Overall,2247444,0,2603013,-0.012,2603013,0,0.036,-1,0,0,0,1
test,Missing Hierarchy,Unknown,2247444,0,2603013,-0.012,2603013,0,0.036,-1,0,0,0,1
test,Multifaceted Abstraction,Overall,6565064,0,2603013,0.006,2603013,0,0.045,-2,0,0,0,1
test,Multifaceted Abstraction,Unknown,6565064,0,2603013,0.006,2603013,0,0.045,-2,0,0,0,1
test,Multipath Hierarchy,Overall,5472112.5,0,2603013,-0.022,2603013,0.001,0.047,-1,0,0,0,2
test,Multipath Hierarchy,Unknown,5472112.5,0,2603013,-0.022,2603013,0.001,0.047,-1,0,0,0,2
test,Rebellious Hierarchy,Overall,1620308,0,2603013,-0.077,2603013,0.003,0.059,-1,0,0,0,2
test,Rebellious Hierarchy,Unknown,1620308,0,2603013,-0.077,2603013,0.003,0.059,-1,0,0,0,2
test,Unexploited Encapsulation,Overall,379050,0,2603013,0.008,2603013,0,0.023,-1,0,0,0,1
test,Unexploited Encapsulation,Unknown,379050,0,2603013,0.008,2603013,0,0.023,-1,0,0,0,1
test,Unnecessary Abstraction,Overall,7968973709,0,2603013,-0.004,2603013,0.001,0.263,-2,0,0,0,2
test,Unnecessary Abstraction,Unknown,7968973709,0,2603013,-0.004,2603013,0.001,0.263,-2,0,0,0,2
test,Unutilized Abstraction,Overall,191156136292,0,2603013,0.431,2603013,-0.22,0.706,-10,-1,0,0,42
test,Unutilized Abstraction,Unknown,191156136292,0,2603013,0.431,2603013,-0.22,0.706,-10,-1,0,0,42
test,Wide Hierarchy,Overall,20012883,0,2603013,-0.007,2603013,0,0.06,-1,0,0,0,1
test,Wide Hierarchy,Unknown,20012883,0,2603013,-0.007,2603013,0,0.06,-1,0,0,0,1
