Project Name,Stars,Forks,Commits,isFork,Branch,Contributors,Size,Comment Lines,LOC,Blank Lines,Java,,,Incalculable due to TIME LIMIT,Tutorial repository,Noting Refactoring
restlet/restlet-framework-java,645,284,8951,FALSE,2.4,44,656056,136274,148189,37443,10625140,,,,,
nuxeo/nuxeo,621,379,53510,FALSE,2023,103,460256,247689,632315,140557,37142047,,,,,
togglz/togglz,955,256,1508,FALSE,master,95,3723,5362,21008,5940,1051174,,,,,
spring-projects/spring-webflow,322,228,2655,FALSE,main,21,23013,24993,43531,10406,2748556,,,,,
jlegewie/zotfile,3714,274,1119,FALSE,master,40,10517,0,0,0,1502310,,,,,
jbosstm/quickstart,107,105,1046,FALSE,main,20,10996,9418,25805,6389,1494899,,,,,
mrniko/netty-socketio,6718,1641,1061,FALSE,master,46,2285,2733,6935,1755,387170,,,,,
dozermapper/dozer,2078,483,1094,FALSE,master,58,21734,16990,36896,10847,2217074,,,,,
hypercube1024/firefly,295,112,3336,FALSE,main,2,30626,12280,44380,9805,2271605,,,,,
marginallyclever/makelangelo-software,346,150,3303,FALSE,master,18,185425,5450,30856,6250,1344245,,,,,
denizenscript/denizen,207,104,10205,FALSE,dev,62,48288,33175,126906,16937,7348119,,,,,
open-keychain/open-keychain,2132,477,7368,FALSE,master,108,81063,12817,64048,15577,3610878,,,,,
bitcoin-wallet/bitcoin-wallet,3652,2025,4420,FALSE,main,30,41675,3290,18298,3336,1036965,,,,,
dita-ot/dita-ot,397,196,6806,FALSE,develop,39,103636,12696,54870,7572,2553139,,,,,
anysoftkeyboard/anysoftkeyboard,2842,824,7842,FALSE,main,136,282644,5521,70158,12163,3255077,,,,,
romraider/romraider,282,107,1930,FALSE,master,21,128569,13165,52344,9566,2497227,,,,,
plutext/docx4j,2075,1195,3978,FALSE,VERSION_11_5_0,35,154889,389568,352747,109032,25988552,,,,,
find-sec-bugs/find-sec-bugs,2246,467,1367,FALSE,master,64,7556,10828,38307,10567,2065710,,,,,
jknack/handlebars.java,1454,383,1117,FALSE,master,74,4275,8426,23232,5077,1058996,,,,,
openzipkin/zipkin,16900,3077,2951,FALSE,master,114,76305,6366,43606,8645,1931180,,,,,
sirixdb/sirix,1103,247,3529,FALSE,main,55,183680,55898,109137,25253,6443874,,,,,
intel-bigdata/hibench,1416,754,1538,FALSE,master,59,659188,2983,13934,3792,691318,,,,,
objectify/objectify,725,162,1271,FALSE,master,22,27591,7286,18789,5237,917359,,,,,
naver/ngrinder,1944,473,4951,FALSE,develop,30,37869,20254,37553,8344,2136459,,,,,
ron190/jsql-injection,1481,410,1158,FALSE,master,1,243448,9758,40670,11452,1934261,,,,,
ignatov/intellij-erlang,730,121,2171,FALSE,master,27,71183,8637,46005,8720,1748884,,,,,
netflix/eureka,12346,3738,1705,FALSE,master,103,12485,10540,35816,7462,2118682,,,,,
qiniu/android-sdk,625,224,1708,FALSE,master,27,4890,7054,19307,4355,961455,,,,,
yukuku/androidbible,311,174,3908,FALSE,develop,9,72944,6591,39529,8340,1803911,,,,,
apache/drill,1933,980,4515,FALSE,master,163,71502,203067,630191,114873,35263954,,,,,
wiglenet/wigle-wifi-wardriving,652,202,2215,FALSE,main,39,465202,2594,25543,3768,1302106,,,,,
drallgood/jpasskit,270,107,1033,FALSE,master,22,2404,1914,6321,1658,349017,,,,,
vanilla-music/vanilla,1137,291,2283,FALSE,master,51,31301,9580,18544,3735,1007204,,,,,
dreamhead/moco,4336,1077,3901,FALSE,master,31,6078,234,22868,5328,1040573,,,,,
forgeessentials/forgeessentials,281,144,5390,FALSE,1.16.5/develop,44,101081,5131,62329,10252,2768214,,,,,
ovirt/ovirt-engine,493,258,34761,FALSE,master,162,333472,64142,772663,169062,38602960,,,,,
ukanth/afwall,2726,449,1870,FALSE,beta,30,29642,5226,22515,4666,1187244,,,,,
neo4j/neo4j,13067,2362,79919,FALSE,5.2,251,634373,232547,883047,142379,38545456,,,,,
apps4av/avare,153,120,2190,FALSE,master,31,16823,16896,43934,10626,2453099,,,,,
dianping/cat,18551,5392,7414,FALSE,master,85,114116,22914,101587,28606,20359082,,,,,
alluxio/alluxio,6794,2933,34609,FALSE,main,349,205521,108716,284501,45710,15365878,,,,,
lwjgl/lwjgl3,4723,632,4053,FALSE,master,45,89109,689646,770826,215381,92631488,,,,,
lealone/lealone,2436,514,3096,FALSE,master,3,26884,29023,100081,16053,4602586,,,,,
ratpack/ratpack,1938,395,6457,FALSE,master,136,25854,37501,43188,11522,2969019,,,,,
koral--/android-gif-drawable,9521,1777,1150,FALSE,dev,24,6060,1494,3143,674,165023,,,,,
spring-projects/spring-ws,317,305,2472,FALSE,main,47,22310,24591,40665,13814,2715199,,,,,
kairosdb/kairosdb,1728,344,1440,FALSE,develop,55,50228,7346,45513,10611,1851834,,,,,
fixteam/fixflow,600,300,1870,FALSE,master,13,122571,106433,88838,28263,7659954,,,,,
pubnub/java,675,948,1117,FALSE,master,23,302332,1304,33257,8222,1595266,,,,,
j256/ormlite-core,576,211,1997,FALSE,main,23,23392,8208,41253,7088,1780693,,,,,
authme/authmereloaded,615,515,4182,FALSE,master,113,99846,12616,44775,10469,2450461,,,,,
