Refactoring Type,Total,Mean,Median,Variance,Standard Deviation,Min,Max,Percentage
LOCALIZE_PARAMETER,13800,33.17307692,14,5763.179611,75.91560848,1,1032,0.2508744246%
PUSH_DOWN_ATTRIBUTE,12956,41.39297125,13,20827.89957,144.3187429,1,2196,0.2355310902%
EXTRACT_ATTRIBUTE,11657,28.78271605,12,3282.111087,57.28971187,1,666,0.2119161716%
MOVE_SOURCE_FOLDER,11175,28.0075188,12,3292.389391,57.37934638,1,754,0.203153746%
REMOVE_CLASS_MODIFIER,10988,28.10230179,10,5953.948482,77.16183306,1,933,0.1997542158%
MERGE_CONDITIONAL,9665,25.9811828,8,8519.867569,92.30312871,1,1508,0.1757029938%
MOVE_CODE,9012,26.98203593,6,43369.78947,208.2541463,1,3714,0.1638319069%
EXTRACT_SUPERCLASS,8788,22.19191919,10,1572.985859,39.66088575,1,441,0.1597597423%
SPLIT_CONDITIONAL,7930,20.28132992,7,3812.300138,61.74382672,1,935,0.1441618976%
MERGE_PARAMETER,6746,19.44092219,7,2025.513118,45.00570095,1,513,0.1226375992%
INVERT_CONDITION,6423,17.99159664,5,4684.379143,68.44252437,1,894,0.1167656833%
REORDER_PARAMETER,6276,18.6231454,6,2702.479582,51.98537854,1,570,0.1140933253%
EXTRACT_INTERFACE,4960,14.09090909,6,779.2623673,27.91527122,1,338,0.09016935842%
ADD_VARIABLE_ANNOTATION,4898,19.99183673,4,8255.442556,90.85946597,1,1005,0.08904224144%
CHANGE_TYPE_DECLARATION_KIND,4652,13.60233918,5,849.5657423,29.14731106,1,386,0.08457013213%
PARAMETERIZE_ATTRIBUTE,4361,12.49570201,5,1191.325413,34.51558217,1,496,0.07927995404%
RENAME_PACKAGE,4085,11.34722222,5,442.0323042,21.02456431,1,202,0.07426246555%
MODIFY_PARAMETER_ANNOTATION,3922,31.376,10,5903.655871,76.83525149,1,744,0.07129923865%
MOVE_PACKAGE,3742,10.87790698,5,383.5069157,19.5833326,1,187,0.06802696355%
MERGE_ATTRIBUTE,2970,9.611650485,4,487.9396041,22.08935499,1,227,0.05399253921%
SPLIT_PARAMETER,2791,8.561349693,3,601.3116092,24.52165592,1,264,0.05073844342%
REPLACE_ANONYMOUS_WITH_CLASS,2722,12.77934272,3,5626.93693,75.01291175,1,1079,0.04948407129%
REPLACE_LOOP_WITH_PIPELINE,2554,11.82407407,5,686.4061154,26.19935334,1,272,0.04642994786%
EXTRACT_SUBCLASS,2543,8.229773463,3,375.2035262,19.37017104,1,225,0.04622997549%
REMOVE_VARIABLE_ANNOTATION,2156,11,3.5,820.9230769,28.65175522,1,274,0.03919458402%
MERGE_VARIABLE,2071,6.857615894,3,247.7172009,15.73903431,1,220,0.037649343%
MERGE_CATCH,1564,8.593406593,3,405.0492381,20.12583509,1,209,0.02843243479%
INLINE_ATTRIBUTE,1549,7.073059361,2,1139.957941,33.76326318,1,492,0.0281597452%
SPLIT_ATTRIBUTE,1549,5.694852941,2,186.3530361,13.65111849,1,165,0.0281597452%
SPLIT_PACKAGE,1055,4.839449541,2,55.50866698,7.45041388,1,58,0.01917916797%
MERGE_PACKAGE,1034,5.442105263,2,129.009858,11.35825066,1,125,0.01879740254%
MERGE_CLASS,1013,4.36637931,2,35.50587774,5.958680873,1,40,0.01841563711%
COLLAPSE_HIERARCHY,995,6.337579618,2,143.8917197,11.99548747,1,99,0.0180884096%
REPLACE_PIPELINE_WITH_LOOP,932,6.427586207,2,198.9131226,14.10365636,1,146,0.01694311332%
SPLIT_OPERATION,918,4.392344498,2,194.4318642,13.94388268,1,188,0.01668860303%
SPLIT_CLASS,777,3.484304933,2,36.75538319,6.062621808,1,48,0.01412532086%
MERGE_OPERATION,526,3.811594203,1,278.6795726,16.69369859,1,196,0.009562315026%
REPLACE_ATTRIBUTE,424,3.475409836,1,94.25145644,9.70831893,1,104,0.0077080258%
SPLIT_VARIABLE,381,3,1,27.20634921,5.215970591,1,41,0.006926315636%
MODIFY_VARIABLE_ANNOTATION,107,4.115384615,1,28.82615385,5.368999334,1,20,0.001945185756%
ASSERT_THROWS,8,8,8,,,8,8,0.0001454344491%
PARAMETERIZE_TEST,3,3,3,,,3,3,0.0000545379184%
,,,,,,,,
Total,5500760,,,,,,,100%
