Refactoring Type,Total,Mean,Median,Variance,Standard Deviation,Min,Max,Percentage,Total,Mean,Median,Variance,Standard Deviation,Min,Max,parcentage,Production[%] / Test[%],Test[%] / Production[%] ,(Production[%] + Test[%])/2
ADD_PARAMETER,260639,587.0247748,221,2355494.85,1534.762148,1,21003,0.04738236171,25682,72.96022727,17,95622.11237,309.2282529,1,5317,0.02180444936,2.173059312,0.4601807206,0.03459340553
REMOVE_PARAMETER_MODIFIER,26275,80.10670732,10,121716.6216,348.8790931,1,5443,0.004776612686,2794,28.51020408,3,6968.169998,83.47556527,1,531,0.002372152928,2.013619202,0.496618228,0.003574382807
MERGE_OPERATION,526,3.811594203,1,278.6795726,16.69369859,1,196,0.00009562315026,57,2.035714286,1,4.628306878,2.151350013,1,12,0.00004839395738,1.975931613,0.5060903897,0.00007200855382
REPLACE_ANONYMOUS_WITH_CLASS,2722,12.77934272,3,5626.93693,75.01291175,1,1079,0.0004948407129,296,4.417910448,2,54.51967436,7.383743925,1,43,0.0002513089716,1.969053113,0.507858317,0.0003730748423
REPLACE_LOOP_WITH_PIPELINE,2554,11.82407407,5,686.4061154,26.19935334,1,272,0.0004642994786,280,4.827586207,2,75.72413793,8.701961729,1,61,0.0002377247029,1.953097314,0.5120072579,0.0003510120908
MODIFY_PARAMETER_ANNOTATION,3922,31.376,10,5903.655871,76.83525149,1,744,0.0007129923865,473,9.653061224,4,313.7729592,17.71363766,1,111,0.0004015849446,1.775446008,0.5632387556,0.0005572886655
MOVE_ATTRIBUTE,76538,176.7621247,71,213996.4873,462.5975435,1,6997,0.01391407733,9370,34.19708029,8,7313.931713,85.52152778,1,793,0.007955287379,1.749035159,0.5717437953,0.01093468235
MERGE_ATTRIBUTE,2970,9.611650485,4,487.9396041,22.08935499,1,227,0.0005399253921,367,4.218390805,2,70.77733226,8.412926498,1,69,0.0003115891642,1.732811838,0.5770967039,0.0004257572781
REMOVE_ATTRIBUTE_MODIFIER,62172,146.6320755,40.5,875499.5901,935.6813507,1,18898,0.01130243821,8028,34.60344828,5,18079.16674,134.458792,1,1478,0.006815906839,1.658244233,0.6030474764,0.009059172524
RENAME_ATTRIBUTE,110880,249.7297297,102,274159.5882,523.6025097,1,5676,0.02015721464,14335,44.10769231,10,17906.26923,133.8143088,1,1352,0.01217065577,1.656214342,0.6037865841,0.01616393521
ADD_ATTRIBUTE_MODIFIER,103533,240.2157773,80,1034451.798,1017.080035,1,20103,0.01882158102,13560,45.81081081,11,24097.81493,155.2347092,1,1790,0.01151266776,1.634858351,0.6116737879,0.01516712439
CHANGE_ATTRIBUTE_ACCESS_MODIFIER,137274,314.1281465,103,2992261.75,1729.815525,1,35109,0.0249554607,18305,57.203125,12,33152.09968,182.0771805,1,2344,0.01554125245,1.605756085,0.6227595892,0.02024835658
MERGE_PACKAGE,1034,5.442105263,2,129.009858,11.35825066,1,125,0.0001879740254,138,2.029411765,1,3.73046532,1.931441255,1,10,0.0001171643179,1.604362393,0.6233005736,0.0001525691716
ADD_ATTRIBUTE_ANNOTATION,49983,134.002681,27,80679.71236,284.041744,1,2354,0.009086562584,7057,36.00510204,6.5,8176.199974,90.42234223,1,854,0.00599151153,1.516572661,0.659381529,0.007539037057
CHANGE_ATTRIBUTE_TYPE,201793,455.5146727,151,1385989.563,1177.280579,1,14611,0.03668456722,28618,83.67836257,15.5,106036.4828,325.632435,1,5046,0.02429716267,1.509829264,0.6623265452,0.03049086495
REMOVE_METHOD_MODIFIER,40347,95.15801887,33,92982.62036,304.9305173,1,5336,0.007334804645,5819,26.45,5,12950.45868,113.8000821,1,1372,0.004940428737,1.484649417,0.6735596891,0.006137616691
PULL_UP_OPERATION,57080,143.7783375,58,68928.4861,262.5423511,1,2793,0.01037674794,8233,36.42920354,11,8063.161632,89.79510918,1,1132,0.006989955282,1.484522793,0.6736171412,0.008683351611
MOVE_RENAME_ATTRIBUTE,21339,86.74390244,5,436820.5423,660.9240065,1,7657,0.003879282136,3083,38.0617284,3,31609.05864,177.7893659,1,1141,0.002617518782,1.482045578,0.6747430816,0.003248400459
SPLIT_ATTRIBUTE,1549,5.694852941,2,186.3530361,13.65111849,1,165,0.000281597452,226,3.704918033,2,84.97814208,9.218358969,1,70,0.0001918777959,1.467587485,0.6813903839,0.000236737624
REMOVE_CLASS_MODIFIER,10988,28.10230179,10,5953.948482,77.16183306,1,933,0.001997542158,1673,9.043243243,3,468.3133373,21.64054845,1,216,0.0014204051,1.406318633,0.7110764067,0.001708973629
MERGE_CATCH,1564,8.593406593,3,405.0492381,20.12583509,1,209,0.0002843243479,240,5.106382979,2,273.3145236,16.53222682,1,115,0.0002037640311,1.395360832,0.7166605061,0.0002440441895
REMOVE_ATTRIBUTE_ANNOTATION,32373,100.5372671,19,58351.77587,241.5611224,1,2857,0.005885186774,5265,31.15384615,7,6817.047619,82.56541418,1,855,0.004470073431,1.316574966,0.7595465706,0.005177630103
INLINE_VARIABLE,48087,109.2886364,43,175591.1807,419.0360137,1,8153,0.00874188294,7826,24.76582278,7,3661.227527,60.50807819,1,835,0.006644405446,1.315675723,0.760065708,0.007693144193
PARAMETERIZE_VARIABLE,26642,61.52886836,29,22795.1803,150.9807282,1,2385,0.00484333074,4353,16.18215613,5,2358.768934,48.56715901,1,687,0.003695770113,1.310506496,0.7630637493,0.004269550427
MERGE_VARIABLE,2071,6.857615894,3,247.7172009,15.73903431,1,220,0.00037649343,350,4.069767442,2,64.77154583,8.048077151,1,65,0.0002971558786,1.266989675,0.7892724148,0.0003368246543
SPLIT_PACKAGE,1055,4.839449541,2,55.50866698,7.45041388,1,58,0.0001917916797,179,2.355263158,1.5,5.165438596,2.272760127,1,14,0.0001519740065,1.262003181,0.7923910294,0.0001718828431
EXTRACT_VARIABLE,119648,270.6968326,118.5,496429.0235,704.5771949,1,12240,0.0217511762,20399,56.98044693,16,35620.88197,188.7349516,1,3148,0.01731909362,1.255907305,0.7962371075,0.01953513491
