列 1,N,mean,change,std_dev,min,25%_q1,median,75%_q3,max,statistic,p_value,effect_size_r,,列 1,N,mean,change,std_dev,min,25%_q1,median,75%_q3,max,statistic,p_value,effect_size_r
New Abstractness words MIN,176212,95.75%,-4.25%,0.6865008592,0%,69.44444444%,100.0%,102.4793388%,233.3333333%,2799382155,0.0000,-0.01471253354,,New Abstractness words MIN,46224,189.9%,89.9%,0.7057764687,0%,225.000000%,225.0%,225%,225%,14279583,0.0000,0.9671532056
New Abstractness words MAX,1513307,100.53%,0.53%,0.05721409434,41.66666667%,100%,100.0%,100.0990099%,171.4285714%,106252102120,0.0000,0.102987598,,New Abstractness words MAX,357955,100.1%,0.1%,0.04074810842,63.63636364%,99.390823%,100.0%,100%,137.5%,7701641880,0.0000,-0.1877399957
New Abstractness words AVG,1513307,100.55%,0.55%,0.07182195994,52.74725275%,98.10869624%,100.0%,101.3077764%,218.0492777%,522590190221,0.0000,-0.04303602296,,New Abstractness words AVG,357955,98.9%,-1.1%,0.05051865915,72.80378838%,95.781880%,99.1%,100.8879492%,139.9237473%,19233612447,0.0000,-0.3776152529
Dorn Visual Y Strings,1406886,113.58%,13.58%,1.169605531,0%,93.41158433%,100.0%,107.7220409%,6098.726852%,433862148329,0.0000,0.03360823786,,Dorn Visual Y Strings,349617,106.2%,6.2%,0.6768199054,0%,91.674671%,97.6%,103.4255905%,1098.378983%,23057147534,0.0000,-0.1949527744
Dorn Visual Y Operators,1513244,112.10%,12.10%,1.02760502,3.518799355%,94.77133983%,100.1%,106.8265077%,6173.417359%,508187790845,0.0000,0.1041339016,,Dorn Visual Y Operators,357739,104.9%,4.9%,0.4834768284,5.029294748%,94.574266%,98.8%,103.2302216%,946.8296928%,26505715671,0.0000,-0.1599394879
Dorn Visual Y Numbers,1225646,111.80%,11.80%,1.120194069,0%,93.77640289%,100.0%,105.982906%,2160.917104%,323381914083,0.0000,0.01435631354,,Dorn Visual Y Numbers,319959,102.5%,2.5%,0.5412722713,0%,90.381220%,97.4%,102.6106697%,1815.725743%,16726000977,0.0000,-0.2826147551
Dorn Visual Y Literals,430954,113.85%,13.85%,1.319498243,0%,90.68904701%,100.0%,102.965709%,988.9214728%,34638201773,0.0000,-0.02749236891,,Dorn Visual Y Literals,141938,77.1%,-22.9%,0.3743186517,0%,29.442432%,100.0%,102.6115619%,284.4769294%,2925936646,0.0000,-0.3279461174
Dorn Visual Y Keywords,1513244,112.06%,12.06%,1.026853356,3.475722441%,94.77120045%,100.1%,106.8187401%,6151.642533%,494870434064,0.0000,0.1046630338,,Dorn Visual Y Keywords,357739,104.9%,4.9%,0.4833959503,5.027911354%,94.593944%,98.8%,103.2308053%,946.4590038%,25980111640,0.0000,-0.1581500596
Dorn Visual Y Identifiers,1513244,112.08%,12.08%,1.030039386,3.513529187%,94.76495582%,100.1%,106.8218577%,6222.01349%,508307100340,0.0000,0.1038093486,,Dorn Visual Y Identifiers,357739,104.9%,4.9%,0.4834067231,5.022582403%,94.577269%,98.8%,103.2314922%,947.0557492%,26513083316,0.0000,-0.158541042
Dorn Visual Y Comments,1451526,109.80%,9.80%,0.943597453,0%,94.75059668%,100.0%,106.8405121%,2729.893684%,461890053103,0.0000,0.04217873439,,Dorn Visual Y Comments,341768,104.3%,4.3%,0.4864115426,0%,94.750597%,98.6%,102.8248588%,947.2858994%,21560720453,0.0000,-0.1819419998
Dorn Visual X Strings,1406886,109.66%,9.66%,1.00405106,0%,95.85340007%,100.0%,103.305823%,1051.464136%,412638389220,0.0000,-0.02179689206,,Dorn Visual X Strings,349617,100.7%,0.7%,0.2399014192,0%,96.172184%,99.7%,100.0707714%,500.2321233%,20195239022,0.0000,-0.2554891548
Dorn Visual X Operators,1513244,100.56%,0.56%,0.1543894997,26.89288328%,98.62879684%,100.0%,101.9906478%,351.8203031%,538419905235,0.0000,0.04519310515,,Dorn Visual X Operators,357739,100.1%,0.1%,0.09834833753,30.14697384%,98.736676%,99.6%,100.1637962%,190.8200339%,24433718599,0.0000,-0.2291060344
Dorn Visual X Numbers,1225646,108.19%,8.19%,1.043624072,0%,95.14713831%,100.0%,101.4179079%,1051.455825%,268503787362,0.0000,-0.1246728309,,Dorn Visual X Numbers,319959,99.2%,-0.8%,0.3557480735,0%,92.942427%,99.3%,100.0549274%,517.1875%,14031927982,0.0000,-0.3525197945
Dorn Visual X Literals,430954,96.04%,-3.96%,0.5320018545,0%,79.32499288%,100.0%,100.0114827%,441.2371134%,19265576709,0.0000,-0.2814222459,,Dorn Visual X Literals,141938,77.3%,-22.7%,0.3382495342,0%,37.008948%,98.3%,99.91100203%,283.325467%,485927369,0.0000,-0.8814015267
Dorn Visual X Keywords,1513244,100.56%,0.56%,0.1539942838,26.92552581%,98.62423828%,100.0%,101.9962367%,349.9217527%,520561068199,0.0000,0.04980158469,,Dorn Visual X Keywords,357739,100.1%,0.1%,0.09821959025,30.15143705%,98.736953%,99.6%,100.1000277%,190.8222222%,24250359965,0.0000,-0.2145893092
Dorn Visual X Identifiers,1513244,100.58%,0.58%,0.1548302332,26.93180815%,98.61859802%,100.0%,102.0237366%,349.9217527%,532922616902,0.0000,0.05166361501,,Dorn Visual X Identifiers,357739,100.1%,0.1%,0.09846090453,30.14887083%,98.737354%,99.6%,100.0853566%,205.1748594%,24399979061,0.0000,-0.2220466462
Dorn Visual X Comments,1450768,104.71%,4.71%,0.580286722,0%,98.05700865%,100.0%,102.1032453%,638.6159167%,474176875777,0.0000,-0.004151184067,,Dorn Visual X Comments,341408,101.8%,1.8%,0.245749437,0%,98.334541%,100.0%,100.5823976%,308.61543%,23421859310,0.0000,-0.1111787548
