列 1,N,mean,change,std_dev,min,25%_q1,median,75%_q3,max,statistic,p_value,effect_size_r,,列 1,N,mean,change,std_dev,min,25%_q1,median,75%_q3,max,statistic,p_value,effect_size_r
BW Max number of identifiers,1513307,101.42%,1.42%,0.2528810547,14.28571429%,96.41025641%,100.0%,101.6759777%,427.2727273%,193477770579,0.0000,-0.09160649871,,BW Max number of identifiers,357955,99.9%,-0.1%,0.1753952185,31.57894737%,96.917563%,100.0%,100%,366.6666667%,11090884463,0.0000,-0.3219992324
BW Max line length,1513307,101.46%,1.46%,0.2428107438,20.55555556%,97.03947368%,100.0%,102.2445363%,825.6880734%,343907396406,0.0000,-0.04997448908,,BW Max line length,357955,99.4%,-0.6%,0.1418786337,26.44628099%,96.084829%,99.2%,100.0948767%,289.7435897%,15288558050,0.0000,-0.3142115129
BW Max keywords,1513307,100.03%,0.03%,0.1730975605,18.51851852%,98.69109948%,100.0%,100%,850%,121244038582,0.0000,-0.05463877501,,BW Max keywords,357955,98.5%,-1.5%,0.128779005,42.85714286%,93.636364%,100.0%,100%,233.3333333%,7982685321,0.0000,-0.3839628206
BW Max indentation,1447789,107.67%,7.67%,0.8696230403,0%,93.33333333%,100.0%,101.826484%,6000%,182638893998,0.0000,-0.0623340117,,BW Max indentation,350013,105.3%,5.3%,0.6539868581,0%,95.016117%,100.0%,100.169424%,3100%,15089687940,0.0000,-0.0366621055
BW Max Identifiers Length,1513307,100.86%,0.86%,0.1368352656,28.33333333%,98.80095923%,100.0%,101.8674136%,335%,208793577422,0.0000,0.03563132097,,BW Max Identifiers Length,357955,102.4%,2.4%,0.1682660936,28.33333333%,100.000000%,100.0%,103.5714286%,363.6363636%,10516057144,0.0000,0.2729783516
BW Max char,1513307,124.04%,24.04%,2.595495802,1.63132137%,95.09503372%,100.1%,108.9099526%,17295.45455%,455841097027,0.0000,0.1277521535,,BW Max char,357955,109.4%,9.4%,0.7884071357,2.872650252%,94.498342%,98.5%,103.5271687%,1271.449067%,25400069792,0.0000,-0.1488914155
BW Avg spaces,1513307,103.35%,3.35%,0.3510115292,15.02404455%,96.02422133%,99.8%,102.2498787%,1197.132353%,466671546287,0.0000,-0.08232257712,,BW Avg spaces,357955,102.0%,2.0%,0.3519088943,23.47875588%,95.950074%,99.8%,101.6891387%,738.5362319%,25020072938,0.0000,-0.1790423798
BW Avg periods,1513031,104.01%,4.01%,0.3131754685,11.28683732%,96.23384546%,100.0%,106.2318843%,1179.62963%,458015123231,0.0000,0.09653698918,,BW Avg periods,357955,100.8%,0.8%,0.1587154938,20.79831933%,96.268857%,100.0%,102.2040375%,326.1691542%,26166868230,0.0000,-0.09574528544
BW Avg parenthesis,1513307,101.75%,1.75%,0.2568876809,14.31451613%,96.40758723%,100.0%,102.6505365%,1388.571429%,491585033726,0.0000,-0.02501106378,,BW Avg parenthesis,357955,100.8%,0.8%,0.1414426829,19.3977813%,96.560494%,100.0%,104.374979%,607.8431373%,28134770683,0.0000,-0.02075833738
BW Avg operators,1381191,129.40%,29.40%,1.728631379,0%,89.78699062%,99.7%,105.3719215%,3148.387097%,375376836093,0.0000,-0.07461036504,,BW Avg operators,338981,104.1%,4.1%,0.6837759424,0%,89.786991%,100.0%,105.3719215%,2445.150013%,23112365679,0.0000,-0.1094574655
BW Avg numbers,1357969,126.87%,26.87%,2.050265722,0%,92.71145518%,100.0%,108.108601%,2591.597078%,380211763211,0.0000,-0.0158249306,,BW Avg numbers,346997,120.1%,20.1%,1.141318953,0%,95.855924%,100.0%,111.7701983%,1881.867915%,21228215630,0.0000,0.2085039166
BW Avg number of identifiers,1513307,101.55%,1.55%,0.1643581632,30.4305842%,97.71561772%,100.0%,103.1747129%,385.7142857%,461467267312,0.0000,0.09213254081,,BW Avg number of identifiers,357955,99.7%,-0.3%,0.102912637,40.62927497%,97.315539%,99.9%,101.2330359%,309.8924731%,24113806780,0.0000,-0.202317239
BW Avg loops,1150638,120.51%,20.51%,1.399110906,0%,94.27656321%,100.0%,103.3591731%,1833.133733%,252214040526,0.0000,-0.04478860182,,BW Avg loops,275921,104.7%,4.7%,0.5144772031,0%,93.846647%,99.8%,103.2036917%,681.6%,15906993914,0.0000,-0.03991902976
BW Avg line length,1513307,100.80%,0.80%,0.1282670187,33.43143025%,97.81595166%,100.2%,102.2885042%,400.6914894%,546669322894,0.0000,0.04032556295,,BW Avg line length,357955,99.6%,-0.4%,0.09966040241,51.11740605%,95.398430%,99.4%,100.9741172%,298.4337125%,23762797546,0.0000,-0.2545550775
BW Avg keywords,1513307,101.05%,1.05%,0.1473527927,14.46477842%,97.22986718%,100.0%,103.7219037%,835.7142857%,479545036263,0.0000,0.0488424623,,BW Avg keywords,357955,97.8%,-2.2%,0.09833618582,52.64440653%,93.761978%,97.8%,100.3748984%,180.4960196%,16803865677,0.0000,-0.4258173485
BW Avg indentation length,1447789,136.24%,36.24%,23.58958529,0%,94.3940383%,99.9%,102.7538998%,346313.3333%,409444215330,0.0000,-0.1090929388,,BW Avg indentation length,350013,132.1%,32.1%,16.02396229,0%,95.484925%,99.6%,101.4942698%,84562.89469%,23760837145,0.0000,-0.1333376792
BW Avg Identifiers Length,1513307,99.81%,-0.19%,0.08029407753,51.22863908%,97.74201623%,100.1%,101.67806%,189.8093312%,546476319235,0.0000,-0.01776836503,,BW Avg Identifiers Length,357955,100.6%,0.6%,0.0525190482,61.24245473%,98.807584%,100.6%,102.5876047%,149.1383163%,25904725313,0.0000,0.1684029348
BW Avg conditionals,1325924,114.73%,14.73%,1.599028404,0%,91.15256967%,100.0%,106.0681345%,6073.066386%,341384261216,0.0000,-0.03630757437,,BW Avg conditionals,274523,106.9%,6.9%,0.7582667778,0%,92.209646%,100.1%,102.6385587%,610.0498657%,15948113692,0.0000,-0.03084528431
BW Avg comparisons,1440877,116.28%,16.28%,1.123071142,0%,91.73762418%,99.8%,106.2730334%,2817.665615%,426587600009,0.0000,-0.05942803189,,BW Avg comparisons,321859,106.5%,6.5%,0.6898672519,0%,90.685458%,100.0%,101.9681834%,1665.876716%,19405703577,0.0000,-0.156332071
BW Avg comments,1513307,111.49%,11.49%,1.119499084,1.042338276%,94.19354839%,99.9%,104.0867334%,10367.3913%,475608661758,0.0000,-0.05525088672,,BW Avg comments,357955,112.7%,12.7%,0.6884340593,8.288704966%,97.556231%,100.7%,117.2586848%,2230.769231%,20418232966,0.0000,0.283369745
BW Avg commas,1464998,125.19%,25.19%,1.818932461,0%,94.55631819%,100.0%,107.4631636%,4047.619048%,453945631310,0.0000,0.01505410521,,BW Avg commas,353088,108.7%,8.7%,1.032513356,0%,96.721113%,100.0%,103.2127842%,4047.619048%,28348618217,0.0000,-0.0153843262
BW Avg blank lines,1450307,101.86%,1.86%,0.4219574918,0%,95.33649366%,100.0%,103.5414998%,976.2860829%,437184609862,0.0000,-0.06358354545,,BW Avg blank lines,355550,101.3%,1.3%,0.3064781951,27.80427658%,95.717464%,99.9%,102.0227384%,671.4058355%,24842228495,0.0000,-0.1416422828
BW Avg Assignment,1460022,110.39%,10.39%,1.084408885,0%,94.62282168%,99.8%,103.9191272%,2049.211356%,411652269184,0.0000,-0.09580432053,,BW Avg Assignment,353838,102.9%,2.9%,0.5169427621,0%,90.215525%,99.9%,106.2491129%,656.7848044%,24394959670,0.0000,-0.1426792965
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,,,,,,,,,,,,,,,,,,,,,,,,,
